matrix_id,name,parent_matrix_id,local_tx,local_ty,local_tz,local_qx,local_qy,local_qz,local_qw,global_x,global_y,global_z
0,skel_root,,-0.0,11.670000076293945,0.5334339737892151,-1.1920928955077829e-07,1.7881393432616743e-07,5.960464477538914e-08,0.9999999999999751,-0.0,11.670000076293945,0.5334339737892151
1,hips,0,-0.0,2.499999936844688e-05,-0.0,2.384185862044047e-07,-4.6491622924300584e-06,-1.1920928954948868e-07,0.9999999999891571,-2.980233229296609e-12,11.670025076293314,0.5334339737832546
2,aimnodes,1,0.0,-2.5999999706982635e-05,-0.0,-2.3841858620447163e-07,4.5895576476566024e-06,5.960464477476107e-08,0.9999999999894378,-6.079620408810991e-12,11.669999076293607,0.5334339737770557
3,spinelo,2,-0.0,-9.999999974752427e-07,0.0,-0.48359588482448795,-0.519473166834702,0.47973703839352194,0.515882761015484,-6.079620394595288e-12,11.66999807629361,0.5334339737772941
4,spinehi,3,2.3217580318450928,0.0,0.0,0.003724158631397293,-0.00014698508054597086,0.03941626165429091,0.9992159262917474,4.549995413208143e-07,13.985734489964575,0.7005468519508112
5,rscap,4,1.663424015045166,0.001155999954789877,-0.00047900000936351717,0.7473358522255684,-0.029303740468198634,-0.6619546920911228,0.04946109977954921,0.0004794488535522545,15.649112147899945,0.6880558179228233
6,lscap,4,1.663802981376648,0.001227000029757619,0.0,-0.7465020240025134,0.020864039232164466,-0.662438474237847,0.058946483156361335,4.4874091686666195e-07,15.649490621713106,0.6879822372678259
7,lshoulder_wgt,4,1.9100329875946045,-0.22020600736141205,1.9996650218963623,-0.25697809700701285,-0.6411188258802502,-0.6260801345593366,0.36187369878280273,-1.9996647071761902,15.897224180684086,0.9077329523231771
8,lbicep,4,1.9100329875946045,-0.22020600736141205,1.9996650218963623,-0.44012600403954927,0.023878997293314545,-0.8957898444900915,0.05726646981316728,-1.9996647071761902,15.897224180684086,0.9077329523231771
9,lforearm,8,3.366813898086548,0.0,-3.000000106112566e-06,0.0,5.960464644266423e-08,-0.12518686631106316,0.9921331808296769,-4.645258107678455,13.859750484953329,1.337823329472704
10,lhand,9,2.835108995437622,-0.0,1.9999999949504854e-06,-0.9999878050611898,-0.003942556985314198,-0.0027355267303832806,0.0011674188746360148,-6.86885109822301,12.135612545308996,0.9902169406765373
11,rshoulder_wgt,4,1.9105210304260254,-0.22032999992370605,-1.999879002571106,0.2554920783133476,0.641456069681808,-0.6259135701538467,0.3626156522886998,1.9998798340523058,15.89771244188224,0.907852207948298
12,rbicep,4,1.910519003868103,-0.22032900154590607,-1.999879002571106,0.43972551138960503,-0.024514081685370462,-0.8958977257241302,0.058376360580328385,1.9998798340517485,15.897710408567816,0.907851223403112
13,rforearm,12,3.3777999877929688,0.0,-0.0,5.960464536364895e-08,5.960464536364895e-08,-0.12802840151577988,0.991770501883025,4.651575712159035,13.852134988329357,1.3479343362717213
14,rhand,13,2.8258121013641357,-9.999999974752427e-07,3.000000106112566e-06,0.9999849858292189,0.004536215784717155,-0.0029077574556457845,0.00099790233496586,6.865577549461037,12.132498822543976,0.9925921796949593
15,neck,4,2.7506110668182373,0.3663789927959442,0.0,0.001337349674047075,0.0001276135809373422,0.09490927621122672,0.9954850197264067,2.387524309120275e-07,16.73378526135203,0.31543284569939994
16,head,15,0.9130280017852783,-9.999999974752427e-07,0.0,-0.0013343693691466301,-0.00012946130006998087,-0.09598841055503471,0.9953815488230011,3.4278842904290516e-07,17.629168272646655,0.1368007826420001
17,rthigh,1,1.1712169647216797,-1.6570849418640137,-0.14436599612236023,0.5459901063821866,-0.44237235683831316,-0.508352532619244,0.49777425025576105,1.1712180579187497,10.012940029228604,0.38907805407450813
18,rcalf,17,4.330031871795654,-0.0,0.0,0.0,0.0,0.1787614025548359,0.9838924539585757,1.56858330599269,5.729882159131284,-0.10760757658445907
19,rfoot,18,4.78643798828125,0.0,0.0,0.01487696267943295,-0.05934471441776751,-0.12302370096044771,0.990516052295016,2.018516634862348,1.107607224824208,1.0508965412259819
20,rtoe,19,0.663972020149231,-1.6242300271987915,0.037794001400470734,-0.013719976933906405,-0.005260706604862776,-0.7087713837984175,0.7052851995522285,2.0185165286148425,0.4495840755539007,-0.5761917935339484
21,lthigh,1,-1.1584409475326538,-1.6570839881896973,-0.14733299612998962,0.5080708203313751,-0.4982700428507638,-0.5461450305331855,0.4419463899040332,-1.1584398278162362,10.012941261327272,0.38609022530211723
22,lcalf,21,4.3316569328308105,-0.0,9.999999974752427e-07,0.0,0.0,0.1789639900260074,0.9838556247102372,-1.5616922615859758,5.7287308170857845,-0.11007703330366936
23,lfoot,22,4.785161972045898,0.0,-0.0,-0.013173520433821874,0.051944911490117235,-0.12343478658320681,0.9909046563574228,-2.0183754704030497,1.1090308591697786,1.0507809973651365
24,ltoe,23,0.6640830039978027,-1.6238670349121094,-0.050971001386642456,0.013228892740976793,-0.003949106205595288,-0.7094802288226597,0.7045900977637785,-2.006454187578452,0.4506063776561361,-0.5761436498970507
